,Aerococcus.christensenii,Agromyces.cluster54,Atopobium.vaginae,Bacteroides.massiliensis,Bifidobacterium.longum_infantis_suis,Bosea.cluster53,Bradyrhizobiaceae.cluster49,Caulobacter.leidyi,Caulobacteraceae.cluster34,Comamonadaceae.cluster57,Coriobacteriaceae.OTU27,Corynebacterium.cluster45,Delftia.acidovorans_lacustris_tsuruhatensis,Enterobacteriaceae.cluster31,Finegoldia.magna,Fusobacterium.cluster48,Gardnerella.vaginalis,Gemella.OTU86,Granulicatella.adiacens,Hyphomicrobium.methylovorum,Lactobacillus.crispatus_cluster,Lactobacillus.gasseri_cluster,Lactobacillus.iners,Lactobacillus.jensenii,Megasphaera.cluster52,Methylobacillus.flagellatus_glycogenes,Methylophilus.cluster11,Microbacterium.cluster35,Mobiluncus.mulieris,Mycoplasma.agalactiae,Mycoplasma.orale_faucium,Prevotella.OTU48,Prevotella.bivia,Prevotella.cluster2,Prevotella.melaninogenica_cluster,Propionibacterium.acnes,Pseudomonas.gessardii,Sneathia.amnii,Staphylococcus.cluster47,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.cluster29,Streptococcus.gordonii,Streptococcus.parasanguinis,TM7.OTU.H1,X_Lachnospiraceae_.BVAB1
16,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,2463,0,4886,0,0,0,0,0,0,0,0,0,1460,0,0,0,1,4798,0,281,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,16454,0,906,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,0,0,4,0,21869,0,0,0,0,0,0,0,0,0,0,0,0,0,2,355,0,1100,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1007,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,10761,0,0,0,2,0,0,1217,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,522,0,0,0,9194,0,1,0,0,0,0,0,0,0,0,0,5792,0,0,0,3,3,0,2,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,0,1,0,0,0,0,0,0
22,0,0,2,0,0,1,0,3,0,1,0,0,4,0,0,0,1020,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23306,0,0,0,0,0,0,0,0
23,0,0,2073,0,0,1,0,1,0,0,0,0,0,0,0,0,1514,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,15772,0,0,1,8,0,0,1,0,0,0,0,1,0
24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,283,0,0,0,4740,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12702,0,0,0,0,0,0,0,0
25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8471,0,0,0,0,0,0,0,0,0,3555,0,0,0,0,0,0,2,0,0,0,0,0,0
26,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4192,0,9087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,0,0,13370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,2,0,0,0,9,4,0,0,0,0,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,8329,0,0,0,0,0,0,0,0,0,3190,0,0,0,1,5445,0,5,0,0,0,0,0,0
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5821,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6622,0,308,0,0,0,0,0,0
31,0,0,5493,0,0,0,6,0,1,0,0,0,1,0,0,0,2422,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,4971,0,0,0,0,0,0
32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4677,0,0,0,0,9272,0,0,0,0,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,3,0,8890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,0,2217,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16037,0,0,0,0,0,1,0,1,0,0,0,5,0,0,1,2,30,0,1557,0,0,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5974,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,14670,0,0,0,3,3,0,0,0,0,0,0,0,0
37,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9866,0,0,0,0,0,0,0,0,0,4318,0,0,0,2,0,0,0,0,0,0,0,0,0
38,0,0,7782,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,0,6678,0,0,0,0,0,0
39,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3307,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,5,2,0,3252,0,0,0,0,0,0
40,0,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,15119,0,1085,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,176,0,9,0,0,0,1,0,0,0,0,0,2,0,0,1,3,15,0,24437,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22682,0,1,0,0,0,0,0,0
43,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,570,0,0,0,10690,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1143,0,0,0,0,0,0
44,0,0,7170,0,0,0,0,0,1,0,0,0,2,0,1,0,2642,0,0,3,7,0,7,0,0,0,6,0,5,0,0,0,0,0,0,1,26,47,0,9387,0,0,0,0,0,0
45,0,0,1245,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,11969,0,18,0,0,0,0,0,0,0,0,0,7303,0,0,0,0,1,0,1,0,0,0,0,0,0
46,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,2256,0,4175,0,0,0,0,0,0,0,0,0,1648,0,0,0,2,4707,0,259,0,0,0,0,0,0
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5126,0,0,0,0,13714,0,649,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4288,0,8703,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,533,0,0,0,0,0,0
49,0,1,837,0,0,0,0,0,1,0,0,0,0,0,0,0,523,0,0,0,0,0,13121,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,12395,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,9,0,0,0,0,0,0,0,2,124,0,1,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427,0,7517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6497,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11854,0,679,0,0,0,0,0,0
53,0,0,1730,0,0,0,0,0,0,0,0,0,0,0,0,1,956,0,0,0,11699,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,6,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,10777,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1160,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,15696,0,0,0,0,1,0,0,0,0,0,0,0,0
56,0,0,2261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12096,0,0,0,1,0,0,6,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
58,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,12498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13504,0,733,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4775,0,11234,0,0,0,0,0,0,0,0,0,3249,0,0,0,1,1,0,0,0,0,0,0,0,0
60,0,0,424,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7120,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,447,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10682,0,0,0,0,0,0,0,0,0,0,0,7253,0,0,0,1,1,0,1,0,0,0,0,0,0
62,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,15628,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,771,0,0,0,0,0,0
63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,19831,0,924,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6294,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17503,0,0,0,0,0,0,0,0
65,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4552,0,7,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9467,0,1,0,0,0,0,0,0
66,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,10509,0,0,0,0,0,0,0,0,0,3685,0,0,0,0,10047,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,1,3,0,0,0,0,0,1,0,0,0,1,24914,0,1189,0,0,0,0,0,0
68,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4261,0,0,1,0,12493,0,0,0,0,0,0,0,0
69,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3461,0,7611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2532,0,0,0,0,10118,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4770,0,0,0,5,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,6962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6399,0,0,0,0,0,0,0,0
73,0,0,14324,0,0,0,0,0,0,0,0,1,1,3,0,0,8200,0,0,1,4,0,4,0,0,0,2,0,8,1,0,0,35,0,0,0,6,5,0,1,0,0,0,0,0,0
74,0,0,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20636,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2286,0,5677,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6239,0,0,0,0,0,0,0,0
76,0,0,883,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14212,0,0,0,0,0,0,0,0,0,7,0,0,1,0,11,0,0,0,0,0,0,0,0
77,0,0,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,17227,0,1,0,0,0,0,0,0
78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12725,0,0,0,0,0,0,0,0,0,4926,0,0,1,2,3,0,663,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,746,0,0,0,3,0,20551,0,0,0,1,0,0,0,0,0,7766,1,0,0,1,2,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,2,491,0,0,0,9872,0,0,0,0,0,1,0,0,0,0,0,6410,0,0,0,1,0,0,0,0,0,0,0,0,0
81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5445,0,0,0,6841,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
82,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,17,0,4559,0,1,0,0,0,0,0,0,0,25,0,0,0,0,4836,0,3770,0,0,0,0,0,0
83,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,146,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,14103,0,6,0,0,0,0,0,0
84,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,5,0,5426,0,0,0,0,0,0,0,0,0,991,0,0,0,0,6602,0,147,0,0,0,0,0,1
85,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2655,0,57,0,0,0,0,0,0,0,0,0,11,0,0,0,0,96,0,9782,0,0,0,0,0,0
86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,4251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6067,0,5,0,0,0,0,0,0
87,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,0,14193,0,0,0,0,0,0,0,0,0,2381,0,0,0,0,25,0,207,0,0,0,0,0,0
88,0,0,2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5815,0,0,0,0,0,0
89,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1495,0,1,0,0,0,0,0,0,0,0,0,1280,0,0,0,4,10435,0,6,0,0,0,0,0,0
90,0,0,5377,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,0,0,0,2304,0,47,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,44,0,0,0,0,0,0
91,0,0,6738,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,0,340,0,0,0,0,0,1,0,0,0,143,0,0,0,0,1134,0,0,1,0,0,0,0,0
92,0,0,4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,9,0,8205,0,1,0,2,0,0
93,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4593,0,0,0,8,0,83,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,25,0,98,0,0,0,0,0,0
94,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,2130,0,0,0,0,24,0,10752,0,0,0,0,0,0
95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,0,0,0,27,0,77,0,0,0,0,0,0,0,0,0,2,0,0,0,0,119,0,14367,0,0,0,0,0,0
96,0,0,10897,0,0,0,0,0,0,0,0,0,0,0,0,0,3874,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3115,0,0,0,0,440,0,0,0,0,0,0,0,0
97,0,0,4596,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1767,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10606,0,84,0,0,0,0,0,0
98,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,3524,0,0,0,2842,0,4,0,0,0,0,0,0,0,0,0,2630,0,0,0,0,319,0,9,0,0,0,0,0,0
99,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1325,0,1,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,12,0,5559,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185,0,7769,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,80,0,2,0,0,0,0
101,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2123,0,193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8973,0,1,0,0,0,0,0,0
102,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,2388,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1866,0,0,0,0,18,0,9274,0,0,0,0,0,0
103,0,0,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5673,0,0,0,0,0,4,0,0,0,17,0,0,0,1,0,0,4059,0,0,0,0,0,0
104,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,0,0,0,1,0,13691,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0
105,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,2094,0,0,0,45,0,12,0,0,0,0,0,0,0,1,0,47,0,0,0,0,14188,0,1,0,0,1,0,0,0
106,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,588,0,2795,0,0,0,0,0,0,0,0,0,506,0,0,0,0,3094,0,2682,0,0,0,0,0,0
107,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,337,0,0,0,0,2,0,6998,0,0,0,0,0,0
108,0,0,11265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,1,0,0,4,0,0,0,0,0,0
109,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,189,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,13161,0,0,0,0,0,0
110,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5415,0,0,0,0,0,0,0,0,0,887,0,0,0,0,154,0,4664,0,0,0,0,0,0
111,0,0,10457,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,40,0,0,0,0,0,1,0,0,0,3264,0,0,0,0,76,0,17,0,0,0,0,0,1
112,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7537,0,6139,0,0,0,0,0,0
113,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,9342,0,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,85,0,0,0,0,0,0
114,0,0,5563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,140,0,8200,0,0,0,0,0,0
115,0,0,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6385,0,61,0,0,0,0,0,0
116,0,0,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,8258,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,107,0,72,0,0,0,0,0,0
117,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,0,0,0,2298,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11855,0,2,0,0,0,0,0,0
118,0,0,3044,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8694,0,5892,0,0,0,0,0,0
119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,0,0,0,2265,0,10729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,7,0,0,0,0,0,0
120,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,9,4,4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3915,0,0,0,0,0,0
121,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3113,0,12786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0
122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,0,0,0,15,0,238,0,0,0,0,0,0,0,0,0,1753,0,0,0,0,9112,0,5,0,0,0,0,0,0
123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,1626,0,0,0,0,7641,0,6839,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6873,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,6086,0,11,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5327,0,4,0,0,0,0,0,0
127,0,0,5072,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8764,0,1,0,0,0,0
128,0,0,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
129,0,0,8408,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,1,23,0,10,0,0,0,0,0,0
130,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2980,0,0,0,0,0,0,0,0,0,572,0,0,0,0,12,0,3246,0,0,0,0,0,0
131,0,0,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0,7209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,0,0,6272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3697,0,2,0,0,0,0,0,2,0,0,0,3113,0,0,0,0,6,0,11,0,0,0,3,0,0
